ell,residuals,osc_fit
2,2.5171262414525247e-14,2.1400027627326158e-14
3,3.7887083731014036e-14,3.562449069223475e-14
4,5.0647315727464134e-14,4.976389931512392e-14
5,6.34195683759941e-14,6.378282561737418e-14
6,7.617106454600609e-14,7.764614360237151e-14
7,8.886872164565849e-14,9.131911716764263e-14
8,1.0147923495795409e-13,1.0476748714006673e-13
9,1.1396916246774005e-13,1.1795755711608687e-13
10,1.26305010969995e-13,1.3085627789183915e-13
11,1.3845332324384425e-13,1.4343133027165007e-13
12,1.503807660717599e-13,1.5565120604741654e-13
13,1.6205421887865194e-13,1.674852869459649e-13
14,1.7344086276155046e-13,1.7890392134657825e-13
15,1.8450826967709135e-13,1.8987849857646719e-13
16,1.9522449155101834e-13,2.003815205980284e-13
17,2.055581490718661e-13,2.1038667090827072e-13
18,2.1547851992892093e-13,2.1986888047777324e-13
19,2.249556262539967e-13,2.2880439056395823e-13
20,2.33960321025678e-13,2.3717081224129285e-13
21,2.4246437319535273e-13,2.4494718249926014e-13
22,2.504405512949317e-13,2.5211401676753996e-13
23,2.578627052878957e-13,2.58653357736791e-13
24,2.6470584642747e-13,2.645488203527095e-13
25,2.7094622488862346e-13,2.697856328706254e-13
26,2.76561404944049e-13,2.743506738677702e-13
27,2.815303374586601e-13,2.782325051204775e-13
28,2.858334294817883e-13,2.814214002639388e-13
29,2.8945261072184445e-13,2.839093691627045e-13
30,2.9237139669446217e-13,2.8569017793086723e-13
31,2.945749483416249e-13,2.867593645517637e-13
32,2.960501279270257e-13,2.8711425005805976e-13
33,2.9678555102051696e-13,2.867539452442039e-13
34,2.9677163439335473e-13,2.856793528944322e-13
35,2.960006396549286e-13,2.838931655207406e-13
36,2.944667124715021e-13,2.813998586164934e-13
37,2.921659172174991e-13,2.7820567944257125e-13
38,2.890962669207031e-13,2.743186313741562e-13
39,2.852577483741675e-13,2.6974845384737536e-13
40,2.806523422987366e-13,2.645065979560478e-13
41,2.7528403845284413e-13,2.5860619775968155e-13
42,2.691588455982361e-13,2.5206203737460954e-13
43,2.6228479624341894e-13,2.448905139307241e-13
44,2.546719460996719e-13,2.371095964866234e-13
45,2.463323681981059e-13,2.287387810061139e-13
46,2.372801416300365e-13,2.1979904150888056e-13
47,2.275313348867708e-13,2.1031277751772127e-13
48,2.17103983789453e-13,2.0030375793402327e-13
49,2.0601806401369857e-13,1.897970614821074e-13
50,1.942954582285903e-13,1.7881901387166321e-13
51,1.819599178838485e-13,1.6739712183572283e-13
52,1.6903701969399844e-13,1.555600042094476e-13
53,1.555541168829615e-13,1.4333732022241697e-13
54,1.4154028526684013e-13,1.307596951840939e-13
55,1.270262642678037e-13,1.178586437486669e-13
56,1.1204439296597041e-13,1.0466649095153919e-13
57,9.662854131069277e-14,9.121629121531729e-14
58,8.081403662697534e-14,7.754174552823728e-14
59,6.463758556622766e-14,6.367711700254776e-14
60,4.813719166467528e-14,4.965714502442935e-14
61,3.1352068685779656e-14,3.55169582105543e-14
62,1.4322549936039856e-14,2.1291986389387283e-14
63,-2.910006243694604e-15,7.017871827764819e-15
64,-2.030331459731535e-14,-7.269620074813444e-15
65,-3.7814264456969036e-14,-2.1534690400415116e-14
66,-5.539902439389653e-14,-3.574159641089078e-14
67,-7.301314976887623e-14,-4.985474110532488e-14
68,-9.061169292424284e-14,-6.383876241232456e-14
69,-1.0814931575012765e-13,-7.765862179366718e-14
70,-1.2558040434862276e-13,-9.127969203729917e-14
71,-1.4285918551132573e-13,-1.0466784401970956e-13
72,-1.5993984471825644e-13,-1.177895322202886e-13
73,-1.7677664535919858e-13,-1.306118787734018e-13
74,-1.9332404887264266e-13,-1.431027558475805e-13
75,-2.095368354920414e-13,-1.5523086614541758e-13
76,-2.2537022528461562e-13,-1.6696582132246547e-13
77,-2.407799991643102e-13,-1.7827821812865143e-13
